league,season,player_id,player_name,team_title,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
serie_a,2014-2015,3875,Rubén Botta,Chievo,F M S,21,835,0,1,1.3607877027243376,1.1892928294837477,18,30,5,1,0,1.3607877027243376,2.9810136277228594,1.2838993174955249
serie_a,2014-2015,3877,Nicola Pozzi,Parma,S,3,32,0,0,0.186937116086483,0.1375576667487621,2,2,0,0,0,0.186937116086483,0.3388775922358036,0.0143828131258487
serie_a,2014-2015,3879,Alexis Zapata,Udinese,S,1,5,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,3880,Melker Hallberg,Udinese,M S,4,201,0,0,0.0280509330332279,0.1469613183289766,1,3,1,0,0,0.0280509330332279,0.6544592380523682,0.5683480650186539
serie_a,2014-2015,3882,Isaac Donkor,Inter,D S,2,112,0,0,0.1155173853039741,0.0,1,0,0,1,0,0.1155173853039741,0.1213680505752563,0.1213680505752563
serie_a,2014-2015,3884,Marco Marchionni,Sampdoria,M,1,78,0,0,0.0,0.0,0,1,0,0,0,0.0,0.0322471894323825,0.0322471894323825
serie_a,2014-2015,3886,David Pizarro,Fiorentina,M S,26,1782,0,3,0.6387179922312498,1.5262474985793233,20,26,4,0,0,0.6387179922312498,7.484138611704111,6.134658295661211
serie_a,2014-2015,3889,Constantin Nica,Cesena,D S,8,368,0,0,0.0421616081148386,0.0993716418743133,3,2,2,0,0,0.0421616081148386,0.3201727904379368,0.2981461994349956
serie_a,2014-2015,3890,Daniele Galloppa,Parma,M S,17,701,0,1,0.2006745543330907,0.4108556108549237,8,11,5,1,0,0.2006745543330907,2.146087479777634,1.8355059176683424
serie_a,2014-2015,3891,Giuseppe Prestia,Parma,S,1,3,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,3893,Lukas Haraslin,Parma,S,2,35,0,0,0.0,0.0207161996513605,0,1,0,0,0,0.0,0.0424978248775005,0.02178162522614
serie_a,2014-2015,3894,Alessandro Agostini,Verona,D S,22,1912,0,1,0.130937366746366,0.8478409191593528,3,10,4,0,0,0.130937366746366,2.940092280507088,2.296969049610197
serie_a,2014-2015,3895,Fernandinho,Verona,F S,6,145,0,0,0.045588681474328,0.1479786187410354,2,2,1,0,0,0.045588681474328,0.4924216587096452,0.2988543584942817
serie_a,2014-2015,3897,Rafael Marques,Verona,D S,18,1258,0,0,0.0,0.0932299643754959,0,4,2,0,0,0.0,1.9016225188970568,1.8487611850723624
serie_a,2014-2015,3898,Gustavo Campanharo,Verona,M S,15,608,0,0,0.254399424418807,0.5646078605204821,8,3,4,0,0,0.254399424418807,3.0121058337390423,2.3132248912006617
serie_a,2014-2015,3901,Guillermo Rodríguez,Verona,D S,13,1043,0,0,0.0,0.0217497870326042,0,1,4,0,0,0.0,0.5871833059936762,0.5871833059936762
serie_a,2014-2015,3904,Gian Filippo Felicioli,AC Milan,S,1,5,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,3905,Alessandro Mastalli,AC Milan,S,1,13,0,0,0.0295067243278026,0.0,1,0,0,0,0,0.0295067243278026,0.0,0.0
serie_a,2014-2015,3906,Rolando Bianchi,Atalanta,F S,21,566,0,0,2.04139075987041,0.6739247739315033,26,10,1,0,0,2.04139075987041,2.71971139870584,0.3006327957846224
serie_a,2014-2015,3907,Giorgio Frezzolini,Atalanta,S,1,32,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0505172200500965,0.0505172200500965
