id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season
647,Harry Kane,30,2556,29,19.82009919732809,7,5.5538915153592825,110,41,3,0,F M S,Tottenham,24,15.253085978329182,21.94719305820763,4.12599990144372,epl,2016-2017
594,Romelu Lukaku,37,3271,25,16.665452419780195,6,5.440816408023238,110,47,3,0,F S,Everton,24,15.904283582232893,21.25199849065393,3.970201384276152,epl,2016-2017
498,Alexis Sánchez,38,3233,24,17.724449135363102,10,8.988117071799934,129,78,6,0,F M S,Arsenal,22,15.44094256311655,27.14118772558868,9.08672859147191,epl,2016-2017
619,Sergio Agüero,31,2408,20,22.672585003077984,3,4.665906261652708,139,31,4,1,F S,Manchester City,16,18.86674086004496,25.35206551104784,5.0266740852966905,epl,2016-2017
802,Diego Costa,35,3101,20,15.43179700151086,7,4.912058966234326,111,42,10,0,F,Chelsea,20,14.670628163963556,22.00321447104216,6.565549122169614,epl,2016-2017
645,Dele Alli,37,3060,18,14.708572203293445,7,4.573811644688249,94,52,4,0,F M S,Tottenham,17,13.94740335084498,25.15399905666709,8.973644252866507,epl,2016-2017
1741,Zlatan Ibrahimovic,28,2435,17,14.637966640293598,5,5.118233239278197,115,48,7,0,F S,Manchester United,15,12.354460082948208,20.0569379478693,6.219504989683628,epl,2016-2017
465,Joshua King,36,2734,16,10.911753680557013,2,2.409230097196996,67,30,1,0,F M S,Bournemouth,14,8.628247126936913,12.56197816412896,3.4120457973331213,epl,2016-2017
701,Eden Hazard,36,3050,16,11.032845260575414,5,6.440569620579481,77,88,3,0,F M,Chelsea,14,8.749338624998927,20.609456665813923,9.108128473162653,epl,2016-2017
606,Christian Benteke,36,3153,15,17.355857238173485,2,2.058575801551342,105,32,10,0,F,Crystal Palace,13,14.311181794852018,13.20292018726468,4.110886909067631,epl,2016-2017
735,Jermain Defoe,37,3324,15,13.647569719702004,2,1.3696135636419058,99,20,1,0,F,Sunderland,10,9.841725539416077,11.509980512782931,2.2906542737036943,epl,2016-2017
