league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2020-2021,227,Robert Lewandowski,Bayern Munich,F S,29,2467,41,7,33,51.61257553352128,7.748237557363893,40.639186909114834,135,94,32,4,0
bundesliga,2020-2021,6170,André Silva,Eintracht Frankfurt,F,32,2787,28,5,21,49.84158225443696,10.644425756356176,39.51399198920688,114,86,31,1,0
bundesliga,2020-2021,8260,Erling Haaland,Borussia Dortmund,F S,28,2416,27,6,25,48.956969383374755,8.381792087744918,42.66123852888033,92,65,27,2,0
bundesliga,2020-2021,956,Andrej Kramaric,Hoffenheim,F M S,28,2386,20,5,15,49.547563624569484,12.996505674677069,37.45593070075344,95,75,38,2,0
bundesliga,2020-2021,7052,Wout Weghorst,Wolfsburg,F S,34,2954,20,8,18,46.03520114577115,13.645107469411895,40.319691384816956,93,73,45,3,0
bundesliga,2020-2021,8812,Sasa Kalajdzic,VfB Stuttgart,F S,33,2146,16,5,16,43.70596459209716,12.588070815805688,43.70596459209716,66,50,26,1,0
bundesliga,2020-2021,208,Lars Stindl,Borussia M.Gladbach,F M S,30,1985,14,8,8,54.618434081574954,22.21541601553414,23.16614990289091,56,42,43,6,0
bundesliga,2020-2021,155,Max Kruse,Union Berlin,F M S,22,1648,11,5,6,51.35796740334874,28.627409157153117,20.01462343949815,30,19,37,0,0
bundesliga,2020-2021,224,Thomas Müller,Bayern Munich,M S,32,2693,11,18,10,29.915352661333305,43.054869760702296,27.029777577964403,50,39,92,0,0
bundesliga,2020-2021,6338,Lucas Alario,Bayer Leverkusen,F S,25,1238,11,2,9,52.11125857507392,6.618060882823268,41.270680542102816,41,30,15,2,0
bundesliga,2020-2021,8807,Silas Wamangituka,VfB Stuttgart,D F M S,25,1949,11,4,8,42.31624952999012,28.4059998484063,29.277750621603587,45,34,23,6,0
bundesliga,2020-2021,993,Serge Gnabry,Bayern Munich,M S,27,1653,10,2,10,34.60341850883041,30.79316298233918,34.60341850883041,59,49,38,4,0
bundesliga,2020-2021,1236,Patrik Schick,Bayer Leverkusen,F S,29,1869,9,1,9,44.98695283466548,10.026094330669036,44.98695283466548,56,47,27,4,0
bundesliga,2020-2021,5221,Leon Bailey,Bayer Leverkusen,F M S,30,2151,9,8,9,33.62783669970813,32.74432660058374,33.62783669970813,58,49,49,6,0
bundesliga,2020-2021,5266,Vincenzo Grifo,Freiburg,F M S,31,2341,9,11,5,38.15143747963598,38.63588881686844,23.212673703495586,57,48,66,2,0
bundesliga,2020-2021,6271,Ihlas Bebou,Hoffenheim,D F M S,32,2193,9,7,9,38.69427032719522,22.61145934560956,38.69427032719522,48,39,39,3,0
bundesliga,2020-2021,319,Marco Reus,Borussia Dortmund,F M S,32,2313,8,6,8,38.60860005793118,27.492795631873708,33.89860431019511,56,48,49,1,0
bundesliga,2020-2021,412,André Hahn,Augsburg,F M S,29,2053,8,3,8,41.00318718601848,17.993625627963038,41.00318718601848,43,35,19,4,0
bundesliga,2020-2021,1277,Roland Sallai,Freiburg,F M S,28,1694,8,3,7,47.812949935110325,9.67263886825651,42.51441119663317,47,39,15,5,0
bundesliga,2020-2021,4248,Nils Petersen,Freiburg,F S,32,1268,8,0,7,51.44657680144249,4.287692084725999,44.265731113831514,34,26,10,0,0
bundesliga,2020-2021,5248,Marcel Sabitzer,RasenBallsport Leipzig,M S,27,2041,8,3,4,50.45321218496822,18.948089919488936,30.59869789554284,60,52,30,8,0
bundesliga,2020-2021,5992,Marcus Thuram,Borussia M.Gladbach,F M S,29,1756,8,3,8,44.39741045972567,11.205179080548664,44.39741045972567,57,49,17,3,1
bundesliga,2020-2021,6345,Jadon Sancho,Borussia Dortmund,F M S,26,2083,8,11,7,32.17223069223641,39.26857859473101,28.559190713032585,52,44,67,0,0
bundesliga,2020-2021,48,Jhon Córdoba,Hertha Berlin,F S,21,1545,7,1,7,45.453685923445605,9.0926281531088,45.453685923445605,48,41,24,3,0
bundesliga,2020-2021,5240,Ondrej Duda,FC Cologne,F M,32,2574,7,4,4,48.66454925636576,26.11588446806556,25.219566275568685,49,42,42,6,1
bundesliga,2020-2021,5249,Emil Forsberg,RasenBallsport Leipzig,F M S,29,1566,7,4,5,39.26281081859765,36.58590132375555,24.151287857646803,35,28,37,0,0
bundesliga,2020-2021,5353,Josip Brekalo,Wolfsburg,F M S,29,1840,7,3,7,34.580378788282026,30.83924242343595,34.580378788282026,47,40,37,1,0
bundesliga,2020-2021,5735,Jean-Philippe Mateta,Mainz 05,F S,15,1008,7,1,6,48.3108055202641,7.7292461455690855,43.95994833416681,28,21,12,2,0
bundesliga,2020-2021,7080,Matheus Cunha,Hertha Berlin,F M S,27,2164,7,4,5,44.49625213467379,23.33806799282645,32.165679872499766,70,63,47,9,0
bundesliga,2020-2021,7090,Krzysztof Piatek,Hertha Berlin,F S,32,1630,7,1,7,49.13228484604127,7.547972909740051,43.31974224421867,41,34,10,4,0
bundesliga,2020-2021,157,Daniel Caligiuri,Augsburg,D M S,33,2675,6,4,4,42.585240464885146,36.277661018450246,21.137098516664608,40,34,49,5,0
bundesliga,2020-2021,320,Jonas Hofmann,Borussia M.Gladbach,F M S,24,1836,6,11,3,35.65262869556559,46.62022707747078,17.727144226963635,25,19,56,1,0
bundesliga,2020-2021,337,Leroy Sané,Bayern Munich,M S,32,1819,6,9,6,31.168946406055476,37.662107187889056,31.168946406055476,57,51,33,2,0
bundesliga,2020-2021,1275,Robin Quaison,Mainz 05,F M S,28,1485,6,2,6,42.41532788889252,15.169344222214947,42.41532788889252,35,29,8,1,0
bundesliga,2020-2021,3300,Christopher Nkunku,RasenBallsport Leipzig,F M S,28,1890,6,6,6,33.16498283630687,33.67003432738627,33.16498283630687,55,49,71,2,0
bundesliga,2020-2021,3310,Alassane Pléa,Borussia M.Gladbach,F M S,29,1804,6,1,6,37.02243013203583,25.955139735928345,37.02243013203583,62,56,28,2,0
bundesliga,2020-2021,4247,Maximilian Philipp,Wolfsburg,M S,24,1129,6,2,6,44.55973955952108,10.880520880957848,44.55973955952108,30,24,14,3,0
bundesliga,2020-2021,6098,Niclas Füllkrug,Werder Bremen,F M S,19,875,6,0,4,57.44241719400173,2.3565291152407566,40.20105369075752,35,29,5,1,0
bundesliga,2020-2021,7065,Florian Neuhaus,Borussia M.Gladbach,M S,33,2636,6,5,6,33.85271052778566,32.29457894442868,33.85271052778566,48,42,23,9,0
bundesliga,2020-2021,7074,Nicolás González,VfB Stuttgart,F M S,15,927,6,2,3,53.94068028023954,14.49027863033186,31.5690410894286,50,44,12,5,0
bundesliga,2020-2021,7422,Christoph Baumgartner,Hoffenheim,F M S,31,2393,6,3,6,37.9999080869413,24.00018382611739,37.9999080869413,61,55,34,6,0
bundesliga,2020-2021,7810,Ruben Vargas,Augsburg,F M S,30,1613,6,3,6,36.36116398329868,27.277672033402634,36.36116398329868,38,32,25,2,1
bundesliga,2020-2021,8418,Jamal Musiala,Bayern Munich,M S,26,850,6,1,6,44.86640539202166,10.267189215956678,44.86640539202166,25,19,9,0,0
bundesliga,2020-2021,9160,Matthew Hoppe,Schalke 04,F S,22,1315,6,1,6,45.00967902709295,9.980641945814092,45.00967902709295,20,14,8,3,0
bundesliga,2020-2021,226,Kingsley Coman,Bayern Munich,M S,29,1785,5,10,5,29.633535543850137,40.73292891229972,29.633535543850137,52,47,45,1,0
bundesliga,2020-2021,306,Florian Niederlechner,Augsburg,F S,28,1776,5,4,5,41.527198345884464,16.945603308231068,41.527198345884464,47,42,13,2,1
bundesliga,2020-2021,335,Leon Goretzka,Bayern Munich,M S,24,1707,5,5,5,35.507197077954686,28.985605844090617,35.507197077954686,42,37,20,2,0
bundesliga,2020-2021,370,Marvin Friedrich,Union Berlin,D,34,3060,5,1,5,33.471090199542864,33.05781960091428,33.471090199542864,25,20,14,1,0
bundesliga,2020-2021,373,Mats Hummels,Borussia Dortmund,D S,33,2819,5,0,5,46.92555018357696,6.1488996328460885,46.92555018357696,30,25,13,6,0
bundesliga,2020-2021,3347,Ellyes Skhiri,FC Cologne,M,32,2799,5,2,5,46.162322826250275,7.675354347499454,46.162322826250275,18,13,17,5,0
bundesliga,2020-2021,3455,Raphael Guerreiro,Borussia Dortmund,D M S,27,2226,5,10,5,24.848839571187714,50.30232085762457,24.848839571187714,37,32,55,1,0
bundesliga,2020-2021,5250,Yussuf Poulsen,RasenBallsport Leipzig,F S,27,1342,5,4,5,42.13628598828732,15.727428023425361,42.13628598828732,44,39,14,1,0
bundesliga,2020-2021,5356,Breel Embolo,Borussia M.Gladbach,F M S,31,1424,5,2,5,44.64775096543603,10.70449806912794,44.64775096543603,41,36,17,4,0
bundesliga,2020-2021,5706,Dodi Lukebakio,Hertha Berlin,F M S,29,1887,5,5,3,46.14440217742574,17.535920451888035,36.31967737068623,42,37,22,2,1
bundesliga,2020-2021,6145,Daichi Kamada,Eintracht Frankfurt,D F M S,32,2383,5,12,5,31.939603384456266,36.12079323108746,31.939603384456266,38,33,55,3,0
bundesliga,2020-2021,6445,Elvis Rexhbecaj,FC Cologne,M S,30,1841,5,2,5,32.798259233265206,34.403481533469574,32.798259233265206,29,24,26,4,0
bundesliga,2020-2021,6484,Renato Steffen,Wolfsburg,D M S,21,1594,5,4,5,37.070242969457965,25.85951406108408,37.070242969457965,30,25,22,3,0
bundesliga,2020-2021,6496,Ermedin Demirovic,Freiburg,F S,30,1518,5,6,5,34.68103807637319,30.637923847253607,34.68103807637319,42,37,16,7,0
bundesliga,2020-2021,6531,Alexander Sørloth,RasenBallsport Leipzig,F M S,29,1417,5,2,5,46.10943814415449,12.537027395585518,41.35353446025999,48,43,27,2,0
bundesliga,2020-2021,7044,Kevin Möhwald,Werder Bremen,M S,27,1578,5,1,5,42.51347974229665,14.9730405154067,42.51347974229665,23,18,10,2,1
bundesliga,2020-2021,7295,Joshua Sargent,Werder Bremen,F M S,32,2541,5,2,5,37.666757583798216,24.66648483240357,37.666757583798216,43,38,33,7,0
bundesliga,2020-2021,7814,Taiwo Awoniyi,Union Berlin,F S,21,1376,5,2,5,45.56230754242781,8.875384915144382,45.56230754242781,29,24,20,0,0
bundesliga,2020-2021,7877,Robert Andrich,Union Berlin,M,29,2529,5,2,5,35.105277338155396,29.78944532368922,35.105277338155396,41,36,20,5,1
bundesliga,2020-2021,8292,Dani Olmo,RasenBallsport Leipzig,F M S,32,2209,5,9,4,37.20533875893354,29.65192977001816,33.14273147104829,77,72,41,1,0
bundesliga,2020-2021,8397,Florian Wirtz,Bayer Leverkusen,F M S,29,2233,5,6,5,32.906547943153946,34.18690411369211,32.906547943153946,31,26,48,1,0
bundesliga,2020-2021,8791,Ritsu Doan,Arminia Bielefeld,F M S,34,2792,5,2,5,36.60400462940439,26.791990741191217,36.60400462940439,69,64,45,1,0
bundesliga,2020-2021,8792,Fabian Klos,Arminia Bielefeld,F M S,34,2750,5,2,4,41.20580480189272,26.3807681625398,32.413427035567494,54,49,32,4,0
bundesliga,2020-2021,64,Filip Kostic,Eintracht Frankfurt,D M S,30,2535,4,15,4,18.399356975439037,63.20128604912192,18.399356975439037,52,48,88,4,0
bundesliga,2020-2021,158,Bas Dost,Eintracht Frankfurt,F S,12,819,4,2,3,41.07492409916216,25.102353564964602,33.82272233587324,15,11,11,3,0
bundesliga,2020-2021,223,Joshua Kimmich,Bayern Munich,M S,27,2191,4,10,4,24.130802831727426,51.73839433654515,24.130802831727426,37,33,64,4,0
bundesliga,2020-2021,262,Leonardo Bittencourt,Werder Bremen,F M S,27,1535,4,1,3,49.20960019414066,11.363769210070458,39.42663059578888,43,39,17,3,0
bundesliga,2020-2021,300,Daniel Didavi,VfB Stuttgart,F M S,23,968,4,3,4,33.15554269618332,33.68891460763337,33.15554269618332,23,19,26,2,0
bundesliga,2020-2021,316,Gonzalo Castro,VfB Stuttgart,M S,26,1765,4,2,4,35.412631713490576,29.17473657301884,35.412631713490576,31,27,42,9,0
bundesliga,2020-2021,1040,Angelino,RasenBallsport Leipzig,D F M S,26,2170,4,4,4,30.51454771070447,38.97090457859105,30.51454771070447,35,31,53,2,0
bundesliga,2020-2021,2611,Philipp Lienhart,Freiburg,D M,34,2997,4,0,4,48.77468560015398,2.4506287996920397,48.77468560015398,9,5,4,4,0
bundesliga,2020-2021,2631,Karim Onisiwo,Mainz 05,F M S,31,1844,4,0,4,41.62191543859816,16.756169122803684,41.62191543859816,55,51,19,2,0
bundesliga,2020-2021,3349,Ramy Bensebaini,Borussia M.Gladbach,D M S,25,1815,4,0,3,46.05124768211556,21.01014190371682,32.93861041416761,22,18,10,7,0
bundesliga,2020-2021,5257,Willi Orban,RasenBallsport Leipzig,D S,29,2354,4,1,4,45.605789338023314,8.788421323953363,45.605789338023314,22,18,7,4,0
bundesliga,2020-2021,5273,Kerem Demirbay,Bayer Leverkusen,M S,29,1745,4,3,4,34.140080157411695,31.71983968517661,34.140080157411695,44,40,35,2,0
bundesliga,2020-2021,6228,Luka Jovic,Eintracht Frankfurt,F S,18,888,4,0,4,43.58542046246223,12.829159075075532,43.58542046246223,25,21,5,2,0
bundesliga,2020-2021,6475,Lucas Höler,Freiburg,F M S,33,2100,4,4,4,43.54924794816867,12.901504103662667,43.54924794816867,44,40,21,5,0
bundesliga,2020-2021,6556,Moussa Diaby,Bayer Leverkusen,D F M S,32,2400,4,10,4,28.27477448464687,43.45045103070626,28.27477448464687,50,46,45,5,0
bundesliga,2020-2021,7267,Woo-Yeong Jeong,Freiburg,F M S,26,803,4,0,4,35.895147431383464,28.209705137233065,35.895147431383464,14,10,13,0,0
bundesliga,2020-2021,8140,Munas Dabbur,Hoffenheim,F M S,22,1003,4,0,4,51.028365201053425,5.39477695119914,43.57685784774743,28,24,13,2,0
bundesliga,2020-2021,8191,Giovanni Reyna,Borussia Dortmund,M S,32,1985,4,5,4,31.704979210508988,36.590041578982024,31.704979210508988,38,34,35,1,0
bundesliga,2020-2021,88,Mark Uth,Schalke 04,F M S,20,1499,3,1,3,40.12731058928377,19.745378821432453,40.12731058928377,35,32,21,5,0
bundesliga,2020-2021,110,Theodor Gebre Selassie,Werder Bremen,D M,34,3034,3,1,3,33.99644925358559,32.00710149282882,33.99644925358559,19,16,18,3,0
bundesliga,2020-2021,131,Jonas Hector,FC Cologne,D M S,19,1299,3,1,3,37.6114921546789,24.777015690642195,37.6114921546789,27,24,18,2,0
bundesliga,2020-2021,153,Maximilian Arnold,Wolfsburg,M,30,2596,3,6,3,23.80007102458228,52.39985795083544,23.80007102458228,55,52,49,7,1
bundesliga,2020-2021,212,Nico Elvedi,Borussia M.Gladbach,D,29,2542,3,0,3,48.96688400470507,2.066231990589858,48.96688400470507,12,9,3,1,0
bundesliga,2020-2021,261,Julian Brandt,Borussia Dortmund,F M S,31,1485,3,2,3,34.72671218238483,30.546575635230333,34.72671218238483,22,19,31,0,0
bundesliga,2020-2021,339,Eric Maxim Choupo-Moting,Bayern Munich,F M S,22,802,3,0,3,43.269527797660814,13.46094440467838,43.269527797660814,20,17,12,2,0
bundesliga,2020-2021,443,Peter Pekarík,Hertha Berlin,D S,23,1723,3,1,3,39.808506470109506,20.382987059780987,39.808506470109506,7,4,9,4,0
bundesliga,2020-2021,4243,Christian Günter,Freiburg,D,34,3060,3,3,3,11.258202731152034,77.48359453769594,11.258202731152034,26,23,69,2,0
bundesliga,2020-2021,4280,Davie Selke,Werder Bremen,F S,23,786,3,0,2,52.57781387502448,5.433547938255386,41.98863818672013,28,25,8,4,0
bundesliga,2020-2021,4340,Grischa Prömel,Union Berlin,M S,24,1844,3,1,3,37.29469774059393,25.410604518812136,37.29469774059393,20,17,9,7,0
bundesliga,2020-2021,5659,Nordi Mukiele,RasenBallsport Leipzig,D M S,28,1696,3,1,3,37.55664887886727,24.886702242265454,37.55664887886727,21,18,11,5,0
bundesliga,2020-2021,5989,Moussa Niakhate,Mainz 05,D,32,2867,3,1,2,41.90762353454902,29.430112031930513,28.662264433520473,10,7,16,8,1
bundesliga,2020-2021,6357,Marco Richter,Augsburg,F M S,29,1403,3,1,3,44.169579004711004,11.660841990577985,44.169579004711004,55,52,15,2,1
bundesliga,2020-2021,6522,Cedric Teuchert,Union Berlin,F M S,24,718,3,1,3,44.26262997372014,11.474740052559719,44.26262997372014,24,21,8,2,0
bundesliga,2020-2021,6523,Milot Rashica,Werder Bremen,F M S,24,1453,3,1,2,44.76305301311503,19.66644076920593,35.570506217679046,43,40,19,0,0
bundesliga,2020-2021,6963,Justin Kluivert,RasenBallsport Leipzig,D F M S,19,815,3,0,3,43.99261578271269,12.014768434574615,43.99261578271269,18,15,12,2,0
bundesliga,2020-2021,7049,Evan Ndicka,Eintracht Frankfurt,D,23,2047,3,1,3,46.76077060357991,6.478458792840179,46.76077060357991,17,14,6,10,0
bundesliga,2020-2021,7058,Kevin Stöger,Mainz 05,M S,19,514,3,0,3,38.14210720444626,23.715785591107476,38.14210720444626,9,6,11,3,0
bundesliga,2020-2021,7289,Amin Younes,Eintracht Frankfurt,M S,26,1410,3,3,3,39.0629747279893,21.874050544021387,39.0629747279893,33,30,23,5,0
bundesliga,2020-2021,7501,Amadou Haidara,RasenBallsport Leipzig,D F M S,31,1909,3,1,3,35.98375796414386,28.03248407171229,35.98375796414386,42,39,35,4,0
bundesliga,2020-2021,7880,Sebastian Andersson,FC Cologne,F S,16,1145,3,0,2,51.6786289411965,3.6783926365521795,44.64297842225131,39,36,7,1,0
bundesliga,2020-2021,7882,Sheraldo Becker,Union Berlin,F M S,18,1125,3,3,3,22.381244037512324,55.23751192497536,22.381244037512324,31,28,18,2,0
