league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2017-2018,227,Robert Lewandowski,Bayern Munich,F S,30,2163,29,2,23,52.755411387832766,4.520708399410088,42.72388021275715,127,98,22,1,0
bundesliga,2017-2018,4248,Nils Petersen,Freiburg,F S,32,2226,15,1,10,55.55622252315224,10.278242295630069,34.165535181217685,64,49,32,3,1
bundesliga,2017-2018,83,Kevin Volland,Bayer Leverkusen,F M S,31,2607,14,2,14,40.1554348794776,19.689130241044793,40.1554348794776,55,41,33,5,0
bundesliga,2017-2018,88,Mark Uth,Hoffenheim,D F M S,31,2171,14,8,14,40.431262514915915,19.13747497016818,40.431262514915915,56,42,29,5,0
bundesliga,2017-2018,6098,Niclas Füllkrug,Hannover 96,F S,34,2387,14,3,11,48.590278150846714,15.716845547840203,35.692876301313085,87,73,37,2,0
bundesliga,2017-2018,65,Timo Werner,RasenBallsport Leipzig,F S,32,2497,13,7,11,45.00131321275817,15.021684382845791,39.97700240439603,95,82,24,1,0
bundesliga,2017-2018,171,Michael Gregoritsch,Augsburg,F M S,32,2543,13,2,12,48.675048554924174,6.374316649427797,44.95063479564803,91,78,20,3,0
bundesliga,2017-2018,318,Pierre-Emerick Aubameyang,Borussia Dortmund,F,16,1421,13,3,10,50.72021513428917,7.79103484819676,41.48875001751407,59,46,16,0,1
bundesliga,2017-2018,956,Andrej Kramaric,Hoffenheim,F M S,34,2221,13,6,11,41.49726003887693,23.160010634820534,35.34272932630254,82,69,52,1,0
bundesliga,2017-2018,26,Salomon Kalou,Hertha Berlin,F M S,31,2237,12,3,11,47.946496436245155,11.702205536864538,40.3512980268903,50,38,16,0,0
bundesliga,2017-2018,2655,Alfred Finnbogason,Augsburg,F,22,1837,12,3,9,47.314815070537435,14.882023660386743,37.80316126907583,52,40,32,2,0
bundesliga,2017-2018,5302,Guido Burgstaller,Schalke 04,F M S,32,2324,11,4,11,40.195032375840086,19.609935248319832,40.195032375840086,55,44,28,8,0
bundesliga,2017-2018,213,Thorgan Hazard,Borussia M.Gladbach,F M S,34,2955,10,5,5,46.60248235463717,21.6142063604965,31.783311284866333,88,78,63,1,0
bundesliga,2017-2018,993,Serge Gnabry,Hoffenheim,F M S,22,1535,10,5,10,39.99556850333283,25.1220311998982,34.88240029676898,50,40,26,0,0
