league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2016-2017,318,Pierre-Emerick Aubameyang,Borussia Dortmund,F S,32,2785,31,2,29,48.84689222694263,7.060113899475895,44.09299387358148,116,85,26,3,0
bundesliga,2016-2017,227,Robert Lewandowski,Bayern Munich,F S,33,2781,30,5,25,48.5781368039797,8.95863806804596,42.46322512797434,143,113,30,5,0
bundesliga,2016-2017,137,Anthony Modeste,FC Cologne,F,34,2983,25,2,22,51.48224840528892,4.662401905884192,43.855349688826884,101,76,19,3,0
bundesliga,2016-2017,65,Timo Werner,RasenBallsport Leipzig,F S,31,2450,21,5,19,46.85917487357497,11.168961470656619,41.971863655768416,74,53,31,4,0
bundesliga,2016-2017,3887,Mario Gomez,Wolfsburg,F S,33,2858,16,1,14,47.36902523844316,9.365388170407515,43.26558659114932,84,68,38,4,0
bundesliga,2016-2017,155,Max Kruse,Werder Bremen,F M,23,2049,15,7,11,43.599675389575914,28.357253061545684,28.0430715488784,41,26,49,1,0
bundesliga,2016-2017,956,Andrej Kramaric,Hoffenheim,F M S,34,2384,15,8,10,45.97977405300561,20.280054470609567,33.74017147638483,99,84,35,1,0
bundesliga,2016-2017,392,Arjen Robben,Bayern Munich,F M S,26,1829,13,9,13,32.126258697052535,35.74748260589493,32.126258697052535,83,70,49,0,0
bundesliga,2016-2017,29,Vedad Ibisevic,Hertha Berlin,F,32,2732,12,4,9,50.792727672876715,6.893299833525529,42.31397249359775,72,60,19,7,1
bundesliga,2016-2017,11,Sandro Wagner,Hoffenheim,F S,31,2608,11,2,11,46.105252335417624,7.7894953291647555,46.105252335417624,66,55,17,3,1
bundesliga,2016-2017,191,Chicharito,Bayer Leverkusen,F S,26,1812,11,3,11,47.69665887989981,10.746016445558285,41.55732467454191,52,41,22,1,0
bundesliga,2016-2017,208,Lars Stindl,Borussia M.Gladbach,F M S,30,2597,11,3,11,44.57768888461985,14.559866034486484,40.862445080893664,68,57,38,8,0
bundesliga,2016-2017,306,Florian Niederlechner,Freiburg,F S,34,2440,11,2,8,51.289572095125415,8.19842220373542,40.51200570113917,78,67,17,4,0
bundesliga,2016-2017,993,Serge Gnabry,Werder Bremen,F M S,27,1969,11,1,10,41.352047282239354,22.784600877989565,35.86335183977108,62,51,31,1,0
bundesliga,2016-2017,4248,Nils Petersen,Freiburg,F S,33,1211,10,4,8,52.497550376331795,6.940797213324003,40.5616524103442,51,41,16,0,0
bundesliga,2016-2017,4247,Maximilian Philipp,Freiburg,F M S,25,1944,9,2,9,42.288449757394936,20.794581364600333,36.91696887800474,53,44,26,5,0
