league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2021-2022,227,Robert Lewandowski,Bayern Munich,F,15,1273,16,1,13,48.79495960219112,9.319692321013695,41.88534807679518,63,47,19,1,0
bundesliga,2021-2022,1236,Patrik Schick,Bayer Leverkusen,F,12,957,14,1,13,50.95367570002062,2.1722809401969845,46.8740433597824,37,23,7,0,0
bundesliga,2021-2022,8260,Erling Haaland,Borussia Dortmund,F S,9,728,11,4,9,45.43327438061811,18.049615711551656,36.51710990783023,39,28,11,1,0
bundesliga,2021-2022,7814,Taiwo Awoniyi,Union Berlin,F S,15,1083,9,0,9,46.361250012221525,7.27749997555696,46.361250012221525,35,26,7,0,0
bundesliga,2021-2022,137,Anthony Modeste,FC Cologne,F,15,1192,8,0,8,47.83560672939234,4.328786541215323,47.83560672939234,57,49,7,2,0
bundesliga,2021-2022,320,Jonas Hofmann,Borussia M.Gladbach,M S,14,1112,7,0,7,37.60892295550472,24.782154088990556,37.60892295550472,35,28,41,0,0
bundesliga,2021-2022,3300,Christopher Nkunku,RasenBallsport Leipzig,F M,15,1297,7,5,7,38.5138006252451,22.97239874950979,38.5138006252451,41,34,30,0,0
bundesliga,2021-2022,7108,Jonathan Burkardt,Mainz 05,F M S,15,1134,7,2,7,42.59051736202388,14.81896527595224,42.59051736202388,31,24,18,0,0
bundesliga,2021-2022,993,Serge Gnabry,Bayern Munich,D M S,15,801,6,0,6,42.07717312050729,15.845653758985417,42.07717312050729,24,18,10,0,0
bundesliga,2021-2022,7881,Sebastian Polter,Bochum,F S,14,1066,6,0,5,50.2662214787264,5.773064518628177,43.960714002645425,27,21,8,0,0
bundesliga,2021-2022,1524,Stevan Jovetic,Hertha Berlin,F M S,9,518,5,0,5,44.85972126541024,10.28055746917952,44.85972126541024,20,15,6,1,0
bundesliga,2021-2022,6271,Ihlas Bebou,Hoffenheim,F M,11,872,5,0,5,49.130799005870514,1.7384019882589745,49.130799005870514,21,16,4,0,0
bundesliga,2021-2022,6544,Lukas Nmecha,Wolfsburg,F M S,14,879,5,0,5,42.19235475549306,15.615290489013885,42.19235475549306,30,25,9,2,0
bundesliga,2021-2022,6556,Moussa Diaby,Bayer Leverkusen,M,14,1187,5,5,5,27.351515303006778,45.296969393986444,27.351515303006778,23,18,20,7,0
bundesliga,2021-2022,7052,Wout Weghorst,Wolfsburg,F S,13,1101,5,1,4,50.54895007936185,10.491586395943301,38.95946352469484,29,24,15,2,0
bundesliga,2021-2022,8397,Florian Wirtz,Bayer Leverkusen,F M S,13,970,5,8,5,26.521552777847134,46.95689444430573,26.521552777847134,20,15,30,2,0
bundesliga,2021-2022,216,Branimir Hrgota,Greuther Fuerth,F M,15,1214,4,3,1,52.51207906462936,22.272465781804073,25.215455153566573,32,28,21,2,0
bundesliga,2021-2022,224,Thomas Müller,Bayern Munich,M,15,1246,4,11,4,22.085062548731578,55.829874902536844,22.085062548731578,22,18,47,0,0
bundesliga,2021-2022,226,Kingsley Coman,Bayern Munich,M S,9,492,4,0,4,44.941765525148085,10.11646894970383,44.941765525148085,25,21,7,0,0
bundesliga,2021-2022,261,Julian Brandt,Borussia Dortmund,M S,12,809,4,2,4,31.820731767951422,36.35853646409717,31.820731767951422,13,9,19,0,0
bundesliga,2021-2022,319,Marco Reus,Borussia Dortmund,F M,14,1254,4,5,4,37.9842115982,24.03157680360001,37.9842115982,30,26,33,2,0
bundesliga,2021-2022,337,Leroy Sané,Bayern Munich,M S,15,968,4,4,4,38.37356133702923,23.252877325941533,38.37356133702923,45,41,30,2,0
bundesliga,2021-2022,2611,Philipp Lienhart,Freiburg,D,15,1342,4,0,4,49.43224425551418,1.1355114889716356,49.43224425551418,12,8,1,1,0
bundesliga,2021-2022,5249,Emil Forsberg,RasenBallsport Leipzig,F M S,15,862,4,0,1,53.58278903612944,15.503462435564241,30.913748528306318,28,24,14,1,0
