league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2019-2020,227,Robert Lewandowski,Bayern Munich,F,31,2763,34,4,29,47.35696342727482,11.037631767454565,41.60540480527062,138,104,36,5,0
bundesliga,2019-2020,65,Timo Werner,RasenBallsport Leipzig,F M S,34,2825,28,8,25,43.18345973109641,17.819565696450283,38.996974572453304,123,95,53,4,0
bundesliga,2019-2020,6345,Jadon Sancho,Borussia Dortmund,F M S,32,2284,17,16,17,32.610274226003796,34.779451547992394,32.610274226003796,52,35,69,2,0
bundesliga,2019-2020,7052,Wout Weghorst,Wolfsburg,F S,32,2736,16,3,12,51.17149722486561,6.352049196109507,42.47645357902488,85,69,37,7,0
bundesliga,2019-2020,7060,Rouwen Hennings,Fortuna Duesseldorf,F S,32,2458,15,0,11,54.779993522176085,5.136291912492083,40.08371456533182,73,58,22,4,0
bundesliga,2019-2020,48,Jhon Córdoba,FC Cologne,F S,29,2015,13,2,13,44.590524657457834,10.81895068508433,44.590524657457834,60,47,25,5,0
bundesliga,2019-2020,306,Florian Niederlechner,Augsburg,F M S,33,2762,13,6,12,43.321971596760946,18.01745879455309,38.66056960868597,78,65,29,1,0
bundesliga,2019-2020,1275,Robin Quaison,Mainz 05,F M S,32,2631,13,2,12,45.89371506257686,11.318590544401799,42.78769439302134,71,58,28,2,0
bundesliga,2019-2020,8260,Erling Haaland,Borussia Dortmund,F S,15,1061,13,2,13,46.04646022009231,7.9070795598153945,46.04646022009231,33,20,9,0,0
bundesliga,2019-2020,956,Andrej Kramaric,Hoffenheim,F M S,19,1411,12,2,10,44.376952310337145,18.040435530972907,37.58261215868994,44,32,28,3,0
bundesliga,2019-2020,993,Serge Gnabry,Bayern Munich,F M S,31,2221,12,10,12,34.69934800898661,30.60130398202679,34.69934800898661,95,83,54,0,0
bundesliga,2019-2020,5220,Kai Havertz,Bayer Leverkusen,F M S,30,2467,12,6,11,36.38717143477959,29.965897461276892,33.64693110394352,59,47,58,3,0
bundesliga,2019-2020,6170,André Silva,Eintracht Frankfurt,F S,25,1575,12,3,11,42.93451454258252,16.95078718433576,40.11469827308173,54,42,32,1,0
bundesliga,2019-2020,7880,Sebastian Andersson,Union Berlin,F S,33,2705,12,1,11,49.417758782848765,6.914149634017564,43.66809158313367,64,52,23,5,0
bundesliga,2019-2020,319,Marco Reus,Borussia Dortmund,F M S,19,1505,11,5,10,44.22861417182278,15.22351387741352,40.54787195076371,47,36,22,1,0
bundesliga,2019-2020,4248,Nils Petersen,Freiburg,F M S,34,2415,11,2,10,42.71927702911321,18.275243117173805,39.005479853712984,55,44,34,1,0
bundesliga,2019-2020,83,Kevin Volland,Bayer Leverkusen,D F M S,27,2060,10,7,10,40.11111780055756,19.77776439888487,40.11111780055756,77,67,34,3,0
bundesliga,2019-2020,1236,Patrik Schick,RasenBallsport Leipzig,F S,22,1313,10,2,10,42.334799163748,15.33040167250399,42.334799163748,53,43,20,3,0
bundesliga,2019-2020,3310,Alassane Pléa,Borussia M.Gladbach,F M S,27,2159,10,10,10,38.41126643392961,25.469271372549287,36.11946219352111,77,67,39,0,2
bundesliga,2019-2020,5992,Marcus Thuram,Borussia M.Gladbach,F M S,31,2225,10,8,10,36.781949746170824,26.436100507658356,36.781949746170824,57,47,31,3,0
bundesliga,2019-2020,208,Lars Stindl,Borussia M.Gladbach,F M S,25,1436,9,3,7,43.33251487164438,21.889825050622175,34.777660077733444,34,25,27,4,0
bundesliga,2019-2020,5248,Marcel Sabitzer,RasenBallsport Leipzig,D F M S,32,2510,9,7,9,34.46887522114199,31.062249557716022,34.46887522114199,70,61,60,4,0
bundesliga,2019-2020,135,Yuya Osako,Werder Bremen,F M S,28,1879,8,2,8,43.33780984938685,13.324380301226304,43.33780984938685,45,37,29,2,0
bundesliga,2019-2020,158,Bas Dost,Eintracht Frankfurt,F S,24,1480,8,2,8,43.965959041759966,12.06808191648006,43.965959041759966,32,24,19,2,0
bundesliga,2019-2020,224,Thomas Müller,Bayern Munich,M S,33,2258,8,20,8,26.25896802317041,47.48206395365918,26.25896802317041,53,45,83,5,0
bundesliga,2019-2020,267,Philipp Max,Augsburg,D M,31,2722,8,6,7,29.725643158039812,47.063929858843764,23.210426983116424,36,28,59,5,0
bundesliga,2019-2020,488,Philippe Coutinho,Bayern Munich,M S,23,1420,8,6,7,41.87450208541113,19.74991330193188,38.37558461265698,58,50,30,0,0
bundesliga,2019-2020,2668,Martin Hinteregger,Eintracht Frankfurt,D S,31,2721,8,1,8,43.39493828044233,13.210123439115323,43.39493828044233,45,37,7,8,0
bundesliga,2019-2020,3455,Raphael Guerreiro,Borussia Dortmund,D M S,29,2343,8,2,8,38.36200448365092,23.27599103269816,38.36200448365092,40,32,38,3,0
bundesliga,2019-2020,5356,Breel Embolo,Borussia M.Gladbach,F M S,28,1544,8,5,8,42.347844627472085,18.574587944817914,39.07756742771001,46,38,21,4,0
bundesliga,2019-2020,6475,Lucas Höler,Freiburg,F M S,34,2502,8,2,8,45.861548065505026,12.087669664040785,42.05078227045419,52,44,31,4,0
bundesliga,2019-2020,6523,Milot Rashica,Werder Bremen,F M S,28,2295,8,5,6,48.42867822009921,20.17121567215567,31.400106107745124,73,65,40,2,0
bundesliga,2019-2020,29,Vedad Ibisevic,Hertha Berlin,F S,25,1270,7,2,6,42.99886965255828,19.139177155160276,37.86195319228145,28,21,12,4,0
bundesliga,2019-2020,213,Thorgan Hazard,Borussia Dortmund,F M S,33,2405,7,13,7,30.159727077082337,39.680545845835326,30.159727077082337,50,43,57,3,0
bundesliga,2019-2020,294,Gian-Luca Waldschmidt,Freiburg,F S,23,1273,7,1,4,53.265617283711485,16.651705005536517,30.082677710751998,43,36,12,3,0
bundesliga,2019-2020,307,Suat Serdar,Schalke 04,M S,20,1609,7,0,7,43.69202218380639,12.61595563238723,43.69202218380639,36,29,11,2,0
bundesliga,2019-2020,5706,Dodi Lukebakio,Hertha Berlin,F M S,30,2050,7,6,7,36.98181972044864,26.03636055910271,36.98181972044864,40,33,36,2,0
bundesliga,2019-2020,6045,Davy Klaassen,Werder Bremen,M,33,2946,7,5,6,47.57504680956893,19.889576770025602,32.53537642040546,45,38,40,7,0
bundesliga,2019-2020,6338,Lucas Alario,Bayer Leverkusen,F S,24,1156,7,1,6,47.558131244482766,9.647035368871451,42.79483338664578,49,42,13,6,0
bundesliga,2019-2020,7051,Gonçalo Paciência,Eintracht Frankfurt,F S,23,1274,7,3,6,42.463018659502396,19.42199983050114,38.11498150999647,51,44,22,4,0
bundesliga,2019-2020,7422,Christoph Baumgartner,Hoffenheim,F M S,26,1499,7,2,7,44.581470123950595,10.837059752098803,44.581470123950595,56,49,18,3,0
bundesliga,2019-2020,7879,Marius Bülter,Union Berlin,D F M S,32,2357,7,1,7,32.14098421862327,35.718031562753474,32.14098421862327,41,34,26,1,0
bundesliga,2019-2020,98,Kenan Karaman,Fortuna Duesseldorf,F M S,20,1367,6,1,6,40.92169957607198,18.156600847856037,40.92169957607198,32,26,21,4,0
bundesliga,2019-2020,335,Leon Goretzka,Bayern Munich,M S,24,1521,6,5,6,39.54207356751511,20.915852864969775,39.54207356751511,40,34,20,2,0
bundesliga,2019-2020,420,Patrick Herrmann,Borussia M.Gladbach,F M S,27,1454,6,6,6,36.96810572017517,26.063788559649666,36.96810572017517,40,34,27,4,0
bundesliga,2019-2020,2676,Erik Thommy,Fortuna Duesseldorf,D F M S,34,2264,6,4,6,30.99797490256005,38.004050194879895,30.99797490256005,61,55,38,3,0
bundesliga,2019-2020,5717,Amine Harit,Schalke 04,F M S,25,2117,6,4,5,35.20159819602181,38.27886576684965,26.51953603712855,29,23,44,3,0
bundesliga,2019-2020,6271,Ihlas Bebou,Hoffenheim,F M S,32,2085,6,1,6,37.19223793377681,25.615524132446392,37.19223793377681,35,29,31,1,0
bundesliga,2019-2020,6484,Renato Steffen,Wolfsburg,D F M S,27,1600,6,3,6,37.903777504108554,24.192444991782885,37.903777504108554,29,23,25,6,0
