league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2018-2019,227,Robert Lewandowski,Bayern Munich,F,33,2959,22,7,19,45.483349646550344,13.192748086220488,41.32390226722919,144,122,47,2,0
bundesliga,2018-2019,2380,Paco Alcácer,Borussia Dortmund,F S,26,1181,18,0,17,48.01152325422533,7.528587178377304,44.45988956739737,52,34,15,0,0
bundesliga,2018-2019,319,Marco Reus,Borussia Dortmund,F M,27,2335,17,8,14,43.85100050250523,18.28903371631243,37.85996578118234,69,52,38,3,1
bundesliga,2018-2019,956,Andrej Kramaric,Hoffenheim,F M S,30,2418,17,4,12,48.45580195386274,13.2992132779268,38.244984768210465,111,94,51,2,0
bundesliga,2018-2019,5220,Kai Havertz,Bayer Leverkusen,F M S,34,2906,17,3,14,48.618976767506,11.976093565947853,39.40492966654615,86,69,35,2,0
bundesliga,2018-2019,6228,Luka Jovic,Eintracht Frankfurt,F M S,32,2256,17,5,16,45.5542776332806,10.999648632486574,43.446073734232826,96,79,26,1,0
bundesliga,2018-2019,7052,Wout Weghorst,Wolfsburg,F S,34,2933,17,7,13,47.4436404008641,14.247122121926617,38.30923747720929,74,57,37,4,0
bundesliga,2018-2019,65,Timo Werner,RasenBallsport Leipzig,F M S,30,2537,16,7,16,43.873500856054335,14.165502577589834,41.96099656635583,107,91,36,1,0
bundesliga,2018-2019,3834,Ishak Belfodil,Hoffenheim,F M S,28,1867,16,3,16,41.39302115882724,17.213957682345526,41.39302115882724,89,73,30,3,0
bundesliga,2018-2019,5250,Yussuf Poulsen,RasenBallsport Leipzig,F S,31,2450,15,3,15,42.26963543563101,15.460729128737984,42.26963543563101,65,50,32,2,0
bundesliga,2018-2019,6144,Sébastien Haller,Eintracht Frankfurt,F S,29,2176,15,9,12,42.161094507030036,22.67649087388876,35.162414619081204,54,39,38,3,0
bundesliga,2018-2019,83,Kevin Volland,Bayer Leverkusen,D F M S,34,2829,14,9,14,38.821621196234524,22.356757607530955,38.821621196234524,87,73,43,4,0
bundesliga,2018-2019,5735,Jean-Philippe Mateta,Mainz 05,F S,34,2505,14,2,14,45.155396204763484,9.689207590473025,45.155396204763484,96,82,30,2,0
bundesliga,2018-2019,3310,Alassane Pléa,Borussia M.Gladbach,F M S,34,2513,12,4,12,43.46838101893505,13.063237962129898,43.46838101893505,83,71,34,2,0
bundesliga,2018-2019,6345,Jadon Sancho,Borussia Dortmund,M S,34,2463,12,14,12,32.05511431918513,35.88977136162975,32.05511431918513,40,28,63,2,0
bundesliga,2018-2019,155,Max Kruse,Werder Bremen,F M,32,2840,11,9,8,42.82628406110197,23.324572897173386,33.84914304172463,91,80,78,0,0
bundesliga,2018-2019,5240,Ondrej Duda,Hertha Berlin,M S,32,2590,11,5,11,34.635529833326316,30.728940333347367,34.635529833326316,54,43,41,7,0
bundesliga,2018-2019,29,Vedad Ibisevic,Hertha Berlin,F M S,28,1838,10,2,9,49.074889606730835,5.002650453676457,45.92245993959272,53,43,16,4,1
bundesliga,2018-2019,213,Thorgan Hazard,Borussia M.Gladbach,F M,33,2885,10,10,7,38.216332610304214,38.46623763297023,23.317429756725545,75,65,73,1,0
bundesliga,2018-2019,993,Serge Gnabry,Bayern Munich,F M S,30,1782,10,5,10,35.703409353042545,28.593181293914903,35.703409353042545,63,53,27,0,0
bundesliga,2018-2019,2655,Alfred Finnbogason,Augsburg,F S,18,1372,10,1,6,51.352037145650854,10.880625177644466,37.76733767670467,40,30,20,2,0
bundesliga,2018-2019,4248,Nils Petersen,Freiburg,F S,24,1925,10,3,9,50.011816447286826,10.186520832922781,39.801662719790386,49,39,21,0,0
bundesliga,2018-2019,5706,Dodi Lukebakio,Fortuna Duesseldorf,F M S,31,1989,10,3,6,55.479088056644784,10.335591899788401,34.18532004356681,56,46,20,6,0
bundesliga,2018-2019,7059,Benito Raman,Fortuna Duesseldorf,F M S,30,1677,10,4,10,41.60531086574551,16.78937826850898,41.60531086574551,55,45,21,1,0
bundesliga,2018-2019,294,Gian-Luca Waldschmidt,Freiburg,F M S,30,1705,9,1,6,49.58795516496956,15.999219537518897,34.412825297511546,64,55,23,1,0
bundesliga,2018-2019,1852,Ante Rebic,Eintracht Frankfurt,F M S,28,1995,9,4,9,39.54523778793242,20.909524424135164,39.54523778793242,61,52,34,3,1
