league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2014-2015,356,Alexander Meier,Eintracht Frankfurt,F M S,26,2209,19,2,16,53.035558449977394,4.370364990497209,42.5940765595254,80,61,22,0,0
bundesliga,2014-2015,227,Robert Lewandowski,Bayern Munich,F M S,31,2493,17,5,16,45.05952639785005,11.807631906517512,43.132841695632436,104,87,32,0,0
bundesliga,2014-2015,392,Arjen Robben,Bayern Munich,D F M S,21,1681,17,7,15,38.789583988675524,28.092463449612502,33.11795256171197,88,71,50,0,0
bundesliga,2014-2015,158,Bas Dost,Wolfsburg,F S,21,1532,16,4,16,44.75363674524301,10.492726509513979,44.75363674524301,43,27,15,1,0
bundesliga,2014-2015,318,Pierre-Emerick Aubameyang,Borussia Dortmund,F M S,33,2724,16,6,14,43.18141581942038,17.887655966330506,38.930928214249114,102,86,46,4,0
bundesliga,2014-2015,224,Thomas Müller,Bayern Munich,F M S,32,2382,13,10,10,43.52877653058332,19.97146959444448,36.49975387497221,83,70,40,1,0
bundesliga,2014-2015,341,Franco Di Santo,Werder Bremen,F,26,2301,13,2,10,53.52911738591266,10.169564405159885,36.301318208927455,54,41,24,8,0
bundesliga,2014-2015,186,Karim Bellarabi,Bayer Leverkusen,F M S,33,2731,12,6,12,40.115894478696276,19.768211042607444,40.115894478696276,104,92,45,5,0
bundesliga,2014-2015,210,Raffael,Borussia M.Gladbach,F M S,31,2386,12,2,12,41.68832188903972,16.62335622192056,41.68832188903972,67,55,42,1,0
bundesliga,2014-2015,754,Shinji Okazaki,Mainz 05,F S,32,2787,12,3,12,42.864755866540186,14.270488266919632,42.864755866540186,59,47,26,4,0
bundesliga,2014-2015,155,Max Kruse,Borussia M.Gladbach,F S,32,2586,11,9,8,38.82127006142291,30.323523453881336,30.855206484695756,65,54,77,2,0
bundesliga,2014-2015,420,Patrick Herrmann,Borussia M.Gladbach,F M S,32,2214,11,4,11,39.264841576212575,21.470316847574857,39.264841576212575,50,39,34,5,0
bundesliga,2014-2015,453,Son Heung-Min,Bayer Leverkusen,M S,30,2305,11,2,11,39.80287303397702,20.394253932045956,39.80287303397702,63,52,39,4,0
bundesliga,2014-2015,119,Anthony Ujah,FC Cologne,F S,32,2357,10,3,10,39.798024874038646,20.403950251922705,39.798024874038646,59,49,33,2,0
bundesliga,2014-2015,208,Lars Stindl,Hannover 96,M S,21,1798,10,3,9,41.20344345238503,22.71748029074632,36.07907625686865,51,41,33,7,1
bundesliga,2014-2015,273,Raúl Bobadilla,Augsburg,F M S,32,2629,10,2,10,44.18364328027587,11.632713439448265,44.18364328027587,83,73,41,4,1
bundesliga,2014-2015,291,Haris Seferovic,Eintracht Frankfurt,F M,32,2855,10,5,10,38.76031275680285,22.4793744863943,38.76031275680285,94,84,34,8,1
