id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
1209,Ciro Immobile,37,3179,36,28.108761623501778,9,5.732696507126093,142,59,8,0,F S,Lazio,22,16.689359106123447,23.45813579857349,3.739929193630815,2019-2020,serie_a
2371,Cristiano Ronaldo,33,2920,31,29.43167947418988,5,6.067225832492113,208,51,3,0,F,Juventus,19,19.53495633788407,26.5536093339324,7.224641568958759,2019-2020,serie_a
594,Romelu Lukaku,36,2985,23,20.79433214850724,2,5.124768648296595,99,53,2,0,F S,Inter,17,16.226579116657376,23.886098654940724,5.316864665597677,2019-2020,serie_a
6980,Francesco Caputo,36,2940,21,14.3150632455945,7,5.517016798257828,73,53,3,0,F S,Sassuolo,19,12.79250555485487,20.52626783028245,4.791130544617772,2019-2020,serie_a
1148,Duván Zapata,28,2047,18,15.833168610930445,6,5.763872463256121,89,38,1,0,F S,Atalanta,17,15.071869760751724,21.96836582757533,4.951401550322771,2019-2020,serie_a
1229,Luis Muriel,34,1225,18,13.168777784332631,1,4.701555393636227,77,36,1,0,F S,Atalanta,12,7.839686108753085,15.924877859652042,5.697577059268951,2019-2020,serie_a
1592,João Pedro,36,3170,18,13.587582010775805,4,3.442607883363962,87,34,6,0,F M S,Cagliari,14,9.01978912577033,17.576330662705004,6.634417623281479,2019-2020,serie_a
1253,Edin Dzeko,35,2857,16,21.15035959333181,7,6.020593264140189,122,54,4,0,F S,Roma,16,21.15035959333181,29.79894602112472,8.127792373299599,2019-2020,serie_a
1186,Andrea Belotti,36,3010,15,16.828323184512556,4,5.02005865983665,104,42,4,0,F S,Torino,8,10.737932640127838,15.490908659994602,3.1620903499424458,2019-2020,serie_a
1426,Josip Ilicic,26,1682,15,10.302356086671352,5,7.094770606607199,81,53,1,1,F M S,Atalanta,15,10.302356086671352,23.53241769969464,10.623078260570765,2019-2020,serie_a
1612,Domenico Berardi,31,2521,14,10.25366119109094,10,7.873028956353664,119,59,6,1,F M S,Sassuolo,12,7.969764726236463,18.357232255861163,6.442294152453542,2019-2020,serie_a
7006,Lautaro Martínez,35,2487,14,15.720711936242878,3,3.1426601633429527,125,31,8,1,F S,Inter,12,13.436815460212529,19.05866105109453,5.423431476578116,2019-2020,serie_a
7973,Marco Mancosu,33,2456,14,15.520459968596697,2,3.370796800591052,85,32,3,0,F M S,Lecce,5,7.1462127789855,11.12159564718604,3.335932401008904,2019-2020,serie_a
1102,Giovanni Simeone,37,2951,12,12.278667054139078,3,2.9999652337282896,86,18,4,0,F S,Cagliari,12,12.278667054139078,16.30761241260916,2.7131987772881985,2019-2020,serie_a
1493,Andrea Petagna,36,3038,12,13.447412020526826,1,3.0871093440800905,110,36,5,0,F S,SPAL 2013,7,8.118320166133344,13.11186918988824,4.879414469003677,2019-2020,serie_a
6156,Andreas Cornelius,26,1482,12,7.528962634503841,3,1.6179820746183395,46,21,1,0,F S,Parma Calcio 1913,12,7.528962634503841,10.615367371588944,1.9523212146013973,2019-2020,serie_a
1136,Gianluca Lapadula,25,1808,11,9.83351474441588,0,1.2387493355199697,60,23,8,1,F S,Lecce,9,8.31091701425612,9.270814592018723,2.10631500557065,2019-2020,serie_a
