id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
1230,Fabio Quagliarella,37,3224,26,23.931930321268737,8,4.579968862235546,140,37,1,0,F,Sampdoria,17,16.319021749310195,20.19403942022473,3.663694598712027,2018-2019,serie_a
1148,Duván Zapata,37,2908,23,20.48707564547658,7,10.126570320688188,118,65,5,0,F S,Atalanta,22,18.964478004723787,30.3103247685358,7.800468221306801,2018-2019,serie_a
7090,Krzysztof Piatek,37,2974,22,17.768350951373577,0,3.065560871735215,119,29,5,0,F S,"AC Milan,Genoa",20,16.245793260633945,19.6475436873734,4.017015072517097,2018-2019,serie_a
2371,Cristiano Ronaldo,31,2692,21,23.32403990253806,8,5.193873833864927,175,48,3,0,F M S,Juventus,16,18.75628685578704,21.854169853031635,7.177339139394462,2018-2019,serie_a
1583,Arkadiusz Milik,35,2403,17,14.078378658741713,3,3.2355691958218813,111,37,4,0,F S,Napoli,17,14.078378658741713,19.810957334935665,5.698175315745175,2018-2019,serie_a
1104,Leonardo Pavoletti,32,2748,16,12.38432938978076,1,1.5758431246504188,85,24,6,0,F S,Cagliari,16,12.38432938978076,10.769815703853965,2.614385169930756,2018-2019,serie_a
1384,Dries Mertens,35,2245,16,12.375787530094383,11,9.394875610247254,89,70,1,0,F S,Napoli,15,11.61448871716857,24.529832266271114,8.040112620219588,2018-2019,serie_a
1493,Andrea Petagna,36,3060,16,14.781544264405966,1,2.010345653165132,90,28,8,0,F S,SPAL 2013,10,10.2139527015388,10.561220396310093,2.678131503984332,2018-2019,serie_a
6980,Francesco Caputo,38,3420,16,18.35760855488479,3,5.176008229143918,96,45,3,0,F,Empoli,13,13.789895532652736,21.86472198367119,6.738054249435663,2018-2019,serie_a
1186,Andrea Belotti,37,3304,15,17.005230847746134,3,4.31005790643394,125,35,5,0,F,Torino,10,12.437679756432772,16.587279498577118,3.120273321866989,2018-2019,serie_a
1209,Ciro Immobile,36,2862,15,16.13044342212379,6,6.479808636009693,124,55,6,0,F S,Lazio,11,13.08528813533485,24.19428303092718,8.138662338256836,2018-2019,serie_a
1426,Josip Ilicic,31,2156,12,10.76516329869628,7,7.920554662123322,101,65,5,1,F M S,Atalanta,12,10.003864467144012,24.519811112433672,11.476233683526516,2018-2019,serie_a
1252,Stephan El Shaarawy,28,2115,11,8.618940285407007,3,5.502360939979553,70,37,2,0,F M S,Roma,11,8.618940285407007,17.380668761208653,5.880333700217307,2018-2019,serie_a
1468,Gregoire Defrel,36,2339,11,8.629785878583789,3,3.1572974529117346,47,25,2,0,F M S,Sampdoria,11,8.629785878583789,17.140595829114318,6.410521729849279,2018-2019,serie_a
1513,Mauro Icardi,29,2266,11,15.226494329050183,4,3.904071172699332,74,34,0,0,F S,Inter,6,10.658861765637994,15.77518942207098,2.46586611866951,2018-2019,serie_a
1943,Gervinho,30,2312,11,7.671817537397146,2,4.0188683504238725,44,22,3,0,F S,Parma Calcio 1913,11,7.671817537397146,13.20734278857708,3.9990344485268,2018-2019,serie_a
1393,Lorenzo Insigne,28,2081,10,10.424117786809802,6,5.122348241508007,120,64,6,1,F M S,Napoli,9,8.901560051366687,19.246918447315693,7.503334891051054,2018-2019,serie_a
1145,Rodrigo de Paul,36,3197,9,9.15363920852542,9,8.785433394368738,88,99,7,0,F M,Udinese,6,4.585926081985235,15.011438574641945,7.237865571863949,2018-2019,serie_a
1253,Edin Dzeko,33,2575,9,15.172219702973962,6,4.332473297603428,131,46,9,0,F S,Roma,9,15.172219702973962,21.02340044081211,4.616411037743092,2018-2019,serie_a
1295,Mario Mandzukic,25,2028,9,6.68426332809031,6,4.050770288333297,32,30,4,0,F S,Juventus,9,6.68426332809031,11.394282164052129,3.6779577676206814,2018-2019,serie_a
1340,Roberto Inglese,25,1977,9,7.6899882433936,0,0.6581488279625773,47,12,3,0,F S,Parma Calcio 1913,7,6.1673905132338405,6.716075063683093,1.5600140113383532,2018-2019,serie_a
448,Ivan Perisic,34,2714,8,10.416363582015038,3,6.945044007152319,99,58,5,0,F M S,Inter,6,8.893805839121342,20.1699892655015,7.528859175741672,2018-2019,serie_a
621,Aleksandar Kolarov,33,2904,8,4.579897518269718,2,6.509762095287442,42,57,6,1,D M S,Roma,5,2.2960409494116902,13.935706302523611,9.387654583901169,2018-2019,serie_a
1612,Domenico Berardi,35,2887,8,9.03201393224299,4,5.238251749426127,126,59,5,1,F M S,Sassuolo,7,8.270715089514852,19.97962591797113,9.820680231787264,2018-2019,serie_a
2116,Felipe Caicedo,28,1377,8,7.832873124629259,2,1.3572736158967018,42,19,4,0,F S,Lazio,7,7.071574300527573,9.919919166713951,2.84649620950222,2018-2019,serie_a
6160,Riccardo Orsolini,35,1958,8,5.478127952665091,5,2.883409642614424,65,20,2,0,F M S,Bologna,8,5.478127952665091,7.893903329968452,2.3961955290287733,2018-2019,serie_a
6972,Federico Santander,32,2058,8,7.911042750813067,3,3.4152866499498487,76,37,5,0,F S,Bologna,8,7.911042750813067,9.550375498831272,1.625188335776329,2018-2019,serie_a
1129,Suso,35,3044,7,4.042498207651079,10,10.721461563371122,95,98,8,1,F M,AC Milan,7,4.042498207651079,20.989105734974142,11.279044900089502,2018-2019,serie_a
1183,Marco Benassi,32,2319,7,5.960007892455906,1,1.8511555846780536,59,32,6,1,D M S,Fiorentina,7,5.960007892455906,10.3707694131881,3.621090815402568,2018-2019,serie_a
1433,Federico Chiesa,37,3038,7,9.371021075174212,3,5.666827594861388,133,54,4,0,F M S,Fiorentina,7,9.371021075174212,17.490456853061914,3.933330718427897,2018-2019,serie_a
1434,Khouma Babacar,29,1486,7,8.066391919739544,2,1.2737187575548887,60,10,0,0,F S,Sassuolo,5,6.543834243901074,8.835465860553086,2.004462957382202,2018-2019,serie_a
1489,Franck Kessié,34,3030,7,7.736343041062355,2,2.8984406292438507,52,44,8,0,M,AC Milan,4,5.452526388689876,16.544661980122328,9.33122194558382,2018-2019,serie_a
1491,Alejandro Gomez,35,2930,7,9.055146349593995,11,11.31518341228366,105,113,5,0,F M S,Atalanta,7,9.055146349593995,29.73727713525296,16.340270724147558,2018-2019,serie_a
1592,João Pedro,34,2590,7,8.502478254027665,2,3.355792373418808,61,34,4,1,F M S,Cagliari,5,6.979880643077195,11.261547929607332,3.570869395509362,2018-2019,serie_a
1605,Diego Farias,32,1904,7,7.484879795461893,4,3.593972325325012,59,26,4,0,F S,"Cagliari,Empoli",7,7.484879795461893,13.536611944437029,4.154948320239782,2018-2019,serie_a
7015,Camillo Ciano,33,2471,7,6.578505671583116,4,7.030812807381153,77,58,12,0,F M S,Frosinone,5,4.2946491008624434,9.246675599366426,2.7058695442974567,2018-2019,serie_a
1102,Giovanni Simeone,36,2462,6,10.995723988860846,3,2.51793216727674,66,30,2,0,F M S,Fiorentina,6,10.995723988860846,13.568021908402445,2.380041804164648,2018-2019,serie_a
1170,Gianluca Caprari,21,1033,6,2.3816134221851826,2,1.339919030666351,30,14,1,0,F M S,Sampdoria,6,2.3816134221851826,4.803974989801645,1.6007588552311065,2018-2019,serie_a
1185,Iago Falque,26,1639,6,6.275083564221859,4,3.0259499782696366,57,50,1,0,F M S,Torino,6,6.275083564221859,11.506014728918672,4.521492701023817,2018-2019,serie_a
1229,Luis Muriel,19,1443,6,3.6331867277622223,0,1.3324050176888704,46,19,1,0,F S,Fiorentina,6,3.6331867277622223,5.344620920717716,1.3931750059127808,2018-2019,serie_a
1251,Radja Nainggolan,29,1967,6,3.781589595600962,3,3.624686736613512,71,41,3,0,M S,Inter,6,3.781589595600962,13.268210601061584,7.422953467816114,2018-2019,serie_a
1293,Gonzalo Higuaín,15,1282,6,7.02101468667388,1,1.610849656164646,55,19,3,1,F,AC Milan,6,6.259715870022774,10.889036811888218,3.3254035357385874,2018-2019,serie_a
1304,Moise Kean,13,527,6,3.811594180762768,0,0.3979450948536396,20,5,2,0,F S,Juventus,6,3.811594180762768,4.452037140727043,0.4792767986655235,2018-2019,serie_a
1386,Piotr Zielinski,36,2895,6,5.675859370268881,2,5.652276108041406,80,58,6,0,M S,Napoli,6,5.675859370268881,19.55208368226885,11.584755199030042,2018-2019,serie_a
1448,Erick Pulgar,28,2366,6,4.70434726588428,2,2.803164758719504,34,59,6,1,M S,Bologna,1,0.8978530894964933,6.471992090344429,5.373066946864128,2018-2019,serie_a
1492,Jasmin Kurtic,30,2568,6,3.831903414800763,5,3.224381662905216,64,37,9,0,M S,SPAL 2013,6,3.831903414800763,7.214928980916738,3.809833904728293,2018-2019,serie_a
1763,Stefano Okaka,16,970,6,2.8895786087960005,1,1.0166616402566433,18,17,4,0,F S,Udinese,6,2.8895786087960005,4.1524896919727325,1.0071620177477598,2018-2019,serie_a
1903,Kevin Lasagna,36,2447,6,8.61249372921884,2,2.198559660464525,64,19,2,0,F S,Udinese,6,7.851194908842444,11.12278540059924,2.5486589008942246,2018-2019,serie_a
5718,Mariusz Stepinski,35,2475,6,7.839367718435824,2,1.6904965983703732,61,30,5,0,F S,Chievo,6,7.839367718435824,10.236171715892851,2.017855927348137,2018-2019,serie_a
7006,Lautaro Martínez,27,1327,6,8.02005267329514,2,2.7824807949364185,65,21,4,0,F M S,Inter,5,7.258753838017583,8.111923228949308,0.5353266857564449,2018-2019,serie_a
677,Jordan Veretout,33,2944,5,5.51921057049185,3,6.2664627358317375,38,77,12,1,M,Fiorentina,0,0.9514176258817316,10.229509103111925,6.856202408671379,2018-2019,serie_a
1000,Federico Fazio,34,2804,5,3.0954405292868614,0,0.2528404500335455,30,6,6,0,D S,Roma,5,3.0954405292868614,5.699663388542831,5.422782800160348,2018-2019,serie_a
1134,Mario Pasalic,33,1596,5,4.537536609917879,3,1.5783126521855593,36,21,1,0,M S,Atalanta,5,4.537536609917879,9.97340833209455,6.251875586807728,2018-2019,serie_a
1210,Keita,24,869,5,4.349225470796228,2,2.748464332893491,30,22,1,1,F M S,Inter,5,4.349225470796228,8.042053610086441,2.411541648209095,2018-2019,serie_a
1294,Paulo Dybala,30,2135,5,5.023500384762883,4,3.562103323638439,65,51,2,0,F M S,Juventus,4,4.262201571837068,11.119915802031755,5.672918541356921,2018-2019,serie_a
1311,Rade Krunic,33,2791,5,4.865877915173769,7,7.073324205353856,54,52,7,1,M,Empoli,5,4.865877915173769,15.4854844417423,8.308625979349017,2018-2019,serie_a
1473,Matteo Politano,36,2594,5,4.933019591495395,6,6.264439100399613,79,66,4,1,F M S,Inter,5,4.933019591495395,17.373103277757764,9.618463784456251,2018-2019,serie_a
1496,Roberto Gagliardini,19,1087,5,3.035913851112128,0,0.9773517996072768,25,14,4,0,M S,Inter,5,3.035913851112128,8.381582520902157,5.633938789367676,2018-2019,serie_a
1539,Diego Perotti,13,666,5,3.622704833745957,0,2.714194459840656,16,18,3,0,F M S,Roma,2,1.3388482742011547,4.604076366871595,1.548983734101057,2018-2019,serie_a
1543,Sergej Milinkovic-Savic,31,2416,5,6.054739239625633,3,4.726379739120603,76,48,7,1,M S,Lazio,5,6.054739239625633,15.795116491615772,8.495807019993663,2018-2019,serie_a
1809,Joaquín Correa,34,1903,5,8.546462290920317,6,6.370340465568006,70,57,5,0,F M S,Lazio,5,8.546462290920317,19.206141780130565,6.4443738935515285,2018-2019,serie_a
1868,Daniel Ciofani,32,1621,5,4.874070138670504,2,1.5364325940608978,53,15,1,0,F S,Frosinone,3,3.3514724830165505,4.373385871760547,1.073352457024157,2018-2019,serie_a
2447,Fabián,27,1983,5,4.012515262700617,4,4.761741960421205,51,62,2,1,M S,Napoli,5,4.012515262700617,19.20450896769762,14.090974006801844,2018-2019,serie_a
4895,Andrea Pinamonti,27,1618,5,6.083853747695684,3,0.4489105921238661,60,16,2,0,F S,Frosinone,5,6.083853747695684,7.261542346328497,0.981135425157845,2018-2019,serie_a
4941,Hans Hateboer,35,2975,5,5.454539822414517,5,5.20495729893446,29,48,5,0,D M S,Atalanta,5,5.454539822414517,19.2151726782322,11.449925534427166,2018-2019,serie_a
6159,Gianluca Mancini,30,2252,5,4.66424991376698,2,1.480700435116887,40,12,5,0,D S,Atalanta,5,4.66424991376698,10.403613943606617,9.425541676580906,2018-2019,serie_a
6187,Mirco Antenucci,35,2101,5,6.360777305439115,0,1.878603870049119,50,23,0,0,F S,SPAL 2013,4,4.838179634884,7.83632380142808,2.410572038963437,2018-2019,serie_a
6978,Giovanni Di Lorenzo,37,3330,5,4.036118531599641,3,5.017266810871661,21,39,8,0,D M,Empoli,5,4.036118531599641,13.78531556762755,9.959631333127618,2018-2019,serie_a
604,Emre Can,29,1798,4,2.885854547843337,1,2.537701492197812,32,19,7,0,M S,Juventus,3,2.12455571629107,8.33931777253747,5.597490292042494,2018-2019,serie_a
952,Gastón Ramírez,27,1597,4,2.004862144589424,4,3.591641265898943,27,32,6,1,M S,Sampdoria,4,2.004862144589424,8.19926180690527,5.206783978268504,2018-2019,serie_a
1096,Armando Izzo,37,3279,4,2.5748093873262405,1,1.0447212802246213,25,11,6,0,D,Torino,4,2.5748093873262405,6.3101458409801126,5.635863590985537,2018-2019,serie_a
1115,Goran Pandev,26,1123,4,3.15883390698582,2,1.5587782971560955,27,21,6,0,F M S,Genoa,4,3.15883390698582,4.886693377047777,1.516345165669918,2018-2019,serie_a
1117,Andrea Poli,30,1965,4,3.235887384042144,1,0.9628271600231528,31,14,5,0,M S,Bologna,4,3.235887384042144,4.918760570697486,1.9736564541235568,2018-2019,serie_a
1123,Juraj Kucka,18,1535,4,2.466345549561084,3,1.8332385662943125,26,16,4,1,F M S,Parma Calcio 1913,3,1.705046714283526,2.859186908230185,1.7744004912674427,2018-2019,serie_a
1168,Bryan Cristante,35,2414,4,3.3263224232941866,3,2.984716590493917,43,28,10,0,M S,Roma,4,3.3263224232941866,13.176984839141369,9.208237681537868,2018-2019,serie_a
1182,Daniele Baselli,34,2404,4,2.303462154231965,1,3.632218912243843,42,45,5,0,F M S,Torino,4,2.303462154231965,9.33373448625207,6.232518503442407,2018-2019,serie_a
1205,Senad Lulic,35,2941,4,2.7030070340260863,1,4.648613370023668,27,52,5,0,D M S,Lazio,4,2.7030070340260863,13.141702270135283,8.838014680892229,2018-2019,serie_a
1207,Marco Parolo,34,2567,4,5.130329787731171,3,4.015089720487595,60,31,7,0,M S,Lazio,4,5.130329787731171,15.530303217470646,8.534357655793428,2018-2019,serie_a
1219,Luis Alberto,27,2018,4,4.027842650189996,5,5.985769006423652,68,77,5,1,F M S,Lazio,3,3.266543800011277,12.733088620007038,8.11641338095069,2018-2019,serie_a
1347,Sergio Pellissier,19,959,4,5.457775507122278,1,1.9128603730350733,25,12,1,0,F S,Chievo,3,3.93517792597413,6.46851238142699,1.6735812472179532,2018-2019,serie_a
1354,Gianmarco Ferrari,31,2790,4,2.4137553218752146,0,0.262553034350276,23,5,9,0,D,Sassuolo,4,2.4137553218752146,6.82337305881083,6.503218775615096,2018-2019,serie_a
1383,Manolo Gabbiadini,18,805,4,2.105790259316564,2,1.1572979912161827,30,15,5,0,F S,Sampdoria,4,2.105790259316564,4.768715527839959,1.790105045773089,2018-2019,serie_a
1399,Bruno Alves,33,2924,4,2.1635792925953865,1,1.07992176245898,16,10,8,1,D,Parma Calcio 1913,4,2.1635792925953865,5.72708716802299,5.705717606469989,2018-2019,serie_a
1474,Alfred Duncan,26,1848,4,1.0352359917014835,4,3.17077402304858,25,32,7,1,M S,Sassuolo,4,1.0352359917014835,7.838123194873333,5.057961447164416,2018-2019,serie_a
1580,Mattia Destro,17,478,4,3.031506970524788,1,0.6890854239463806,12,3,3,0,F M S,Bologna,4,3.031506970524788,2.0338382683694363,0.1237443536520004,2018-2019,serie_a
1642,Simone Zaza,29,1403,4,6.373843373730779,3,0.8243845086544752,56,15,8,1,F S,Torino,4,6.373843373730779,7.671016598120332,2.214812811464072,2018-2019,serie_a
1819,Kevin-Prince Boateng,13,945,4,4.002457401715219,1,0.6276749037206173,28,16,1,0,F M S,Sassuolo,2,2.479859723709524,6.00001161172986,3.113731723278761,2018-2019,serie_a
2303,Samu Castillejo,31,989,4,1.811482263728976,2,1.827717835083604,30,19,3,0,F S,AC Milan,4,1.811482263728976,6.759755106642842,3.59643991291523,2018-2019,serie_a
6157,Timothy Castagne,28,1991,4,3.091725617647171,2,2.6784111466258764,19,27,3,0,D M S,Atalanta,4,3.091725617647171,12.859320223331451,8.92555969581008,2018-2019,serie_a
6686,Nicolo Zaniolo,27,1771,4,4.792479326948524,2,1.905013490468264,48,18,8,0,F M S,Roma,4,4.792479326948524,8.90498123317957,3.392129113897681,2018-2019,serie_a
6997,Ignacio Pussetto,35,2181,4,6.59719345998019,4,2.174806877039373,57,23,8,0,D F M S,Udinese,4,6.59719345998019,10.94193726591766,3.913789005950093,2018-2019,serie_a
