league,season,player_id,player_name,team_title,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
bundesliga,2014-2015,356,Alexander Meier,Eintracht Frankfurt,F M S,26,2209,19,2,15.395941108465196,1.2686937591060996,80,22,0,0,16,12.36483433842659,12.408789467066526,1.9156581219285729
bundesliga,2014-2015,227,Robert Lewandowski,Bayern Munich,F M S,31,2493,17,5,17.722183350473642,4.644012805074453,104,32,0,0,16,16.96440664306283,23.31542954593897,4.924822298809886
bundesliga,2014-2015,392,Arjen Robben,Bayern Munich,D F M S,21,1681,17,7,10.364112377166748,7.505969855934381,88,50,0,0,15,8.848720371723175,20.820983182638884,8.605793077498674
bundesliga,2014-2015,158,Bas Dost,Wolfsburg,F S,21,1532,16,4,11.341977171599863,2.659186452627182,43,15,1,0,16,11.341977171599863,15.911891400814056,2.5383058693259954
bundesliga,2014-2015,318,Pierre-Emerick Aubameyang,Borussia Dortmund,F M S,33,2724,16,6,15.39676003716886,6.378020296804607,102,46,4,0,14,13.881206726655364,20.85272805951536,2.5126496041193604
bundesliga,2014-2015,224,Thomas Müller,Bayern Munich,F M S,32,2382,13,10,14.07809910736978,6.459182882681489,83,40,1,0,10,11.804769014939666,23.158116556704044,6.3404814545065165
bundesliga,2014-2015,341,Franco Di Santo,Werder Bremen,F,26,2301,13,2,9.417811661958694,1.789213925600052,54,24,8,0,10,6.386785261332989,9.53252488002181,2.385641388595104
bundesliga,2014-2015,186,Karim Bellarabi,Bayer Leverkusen,F M S,33,2731,12,6,10.108170365914702,4.981079136952758,104,45,5,0,12,10.108170365914702,18.11762314848601,5.559335274621844
bundesliga,2014-2015,210,Raffael,Borussia M.Gladbach,F M S,31,2386,12,2,10.890814747661352,4.342748397961259,67,42,1,0,12,10.890814747661352,20.30747613310814,8.150455221533775
bundesliga,2014-2015,754,Shinji Okazaki,Mainz 05,F S,32,2787,12,3,9.832703720778229,3.273493112064898,59,26,4,0,12,9.832703720778229,12.567015416920183,2.356663540005684
bundesliga,2014-2015,155,Max Kruse,Borussia M.Gladbach,F S,32,2586,11,9,11.078691450878978,8.653631360270083,65,77,2,0,8,8.805361384525895,21.175484623759985,9.910090547055006
bundesliga,2014-2015,420,Patrick Herrmann,Borussia M.Gladbach,F M S,32,2214,11,4,9.38436054252088,5.13144039735198,50,34,5,0,11,9.38436054252088,16.353563491255045,6.580168855376542
bundesliga,2014-2015,453,Son Heung-Min,Bayer Leverkusen,M S,30,2305,11,2,5.336322076618671,2.734232461079955,63,39,4,0,11,5.336322076618671,10.994488790631294,5.067231614142656
