id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season
2097,Lionel Messi,33,2876,25,20.84966728463769,20,16.593363385647535,159,88,4,0,F M S,Barcelona,20,17.133279267698526,34.92346678301692,13.53765751607716,la_liga,2019-2020
2370,Karim Benzema,37,3176,21,21.25092190504074,8,8.153260290622711,124,59,0,0,F S,Real Madrid,16,17.534661665558815,31.533140420913696,10.8458740292117,la_liga,2019-2020
2120,Gerard Moreno,35,2781,18,15.308759577572346,5,7.582541231065987,89,50,5,0,F M S,Villarreal,17,13.822204269468784,23.274220523424447,6.311413732357323,la_liga,2019-2020
2098,Luis Suárez,28,1989,16,13.913964495062828,8,3.1697452925145626,79,26,4,0,F S,Barcelona,15,13.17068687081337,18.988986507058144,4.466442044824362,la_liga,2019-2020
2400,Raúl García,35,2899,15,11.145032257772982,1,1.6823154715821147,81,22,11,0,F M S,Athletic Club,8,5.942344791255891,6.844849605113268,1.7427524253726006,la_liga,2019-2020
1109,Lucas Ocampos,33,2775,14,12.395092755556108,3,3.778462126851082,85,24,8,1,F M S,Sevilla,9,8.678960492834449,15.106647791340947,5.2163168508559465,la_liga,2019-2020
2290,Iago Aspas,37,3283,14,14.935345904901624,3,4.86539494805038,84,57,9,0,F M,Celta Vigo,9,9.732402561232448,16.321945482864976,6.6322398614138365,la_liga,2019-2020
1235,Ante Budimir,35,2807,13,10.8874979801476,2,1.085213542915881,56,13,12,0,F S,Mallorca,11,9.400942716747522,12.438686706125736,3.160123568959534,la_liga,2019-2020
1804,Álvaro Morata,34,2120,12,14.9758129324764,2,4.497370230033994,69,25,4,1,F S,Atletico Madrid,10,12.74610791169107,18.262695636600256,3.4175533652305603,la_liga,2019-2020
866,Joselu,36,2800,11,11.79911195114255,2,1.942874781787396,87,15,6,0,F S,Alaves,10,11.055834326893091,11.244495198130608,2.1454401332885027,la_liga,2019-2020
965,Santiago Cazorla,35,2472,11,8.852402666583657,9,7.984714280813932,49,71,3,0,M S,Villarreal,3,2.906181627884507,20.04500260949135,13.10295733436942,la_liga,2019-2020
1700,Lucas Pérez,34,2519,11,9.509707057848573,5,6.6745787132531404,48,63,4,0,F S,Alaves,6,5.793704388663173,11.495881766080856,3.727855239994824,la_liga,2019-2020
2070,Carlos Fernández,34,2165,11,9.81347555015236,3,2.9137006970122457,47,20,8,0,F M S,Granada,10,9.07019788119942,13.351630609482529,2.693647112697363,la_liga,2019-2020
2246,Sergio Ramos,35,3025,11,10.652958670631053,0,0.5280062342062593,39,5,10,0,D,Real Madrid,5,6.193420918658376,13.22568603977561,10.925066517665982,la_liga,2019-2020
2361,Willian José,37,2031,11,11.714213017374275,1,1.642551040276885,59,19,4,0,F S,Real Sociedad,11,11.714213017374275,12.541560910642149,1.567418521270156,la_liga,2019-2020
2566,Roger,36,2291,11,10.069969104602931,1,2.7547078989446163,57,25,4,1,F S,Levante,7,7.097115030512214,11.975530987605453,3.126762688159942,la_liga,2019-2020
7009,Jaime Mata,34,2792,11,11.404724339023232,3,3.577842734754085,56,29,14,0,F S,Getafe,8,8.43225901760161,13.855682404711844,4.461362952366471,la_liga,2019-2020
2234,Mikel Oyarzabal,37,3086,10,8.03832505363971,11,8.1726733148098,62,51,4,0,F M S,Real Sociedad,6,5.065470359288156,16.71887893974781,6.107305211946368,la_liga,2019-2020
4136,Ángel,32,1352,10,8.195408998057246,3,2.5126116881147027,53,18,6,0,F S,Getafe,9,7.452131388708949,9.774861531332135,3.3229368664324284,la_liga,2019-2020
6124,Maxi Gómez,33,2168,10,6.880587128922343,2,3.248785298317671,41,14,5,0,F S,Valencia,10,6.137309504672885,9.626858914270995,2.038298759609461,la_liga,2019-2020
6528,Loren Morón,36,2013,10,7.65662434976548,2,2.7074477188289165,51,17,2,1,F S,Real Betis,10,7.65662434976548,10.83460416737944,2.0900061074644327,la_liga,2019-2020
2270,Antoine Griezmann,35,2574,9,8.262417173013091,4,4.691107992082834,55,33,2,0,F M S,Barcelona,9,8.262417173013091,19.231144664809108,8.703454604372382,la_liga,2019-2020
5232,Alexander Isak,37,1474,9,8.358875419944525,1,2.5289357006549835,44,14,4,0,F S,Real Sociedad,9,8.358875419944525,9.927118256688118,2.0546590453013778,la_liga,2019-2020
6570,Óscar Rodríguez,30,1937,9,4.917082930915058,2,2.9286210499703884,62,31,5,1,F M S,Leganes,7,3.430527656339109,6.632349380291998,2.816169109195471,la_liga,2019-2020
6955,Ezequiel Ávila,20,1597,9,8.280091857537627,2,3.989530114922673,70,22,6,0,F S,Osasuna,9,8.280091857537627,12.755436537787318,2.0181346451863647,la_liga,2019-2020
222,Arturo Vidal,33,1645,8,5.743407223373652,2,3.4481149278581142,25,23,4,0,F M S,Barcelona,8,5.743407223373652,15.894737672060728,8.083311188966036,la_liga,2019-2020
2148,Joaquín,34,2090,8,6.193383297882974,3,5.542067240923643,34,61,4,0,F M S,Real Betis,6,3.963678351603448,12.628123693168163,5.559414276853204,la_liga,2019-2020
2183,Rubén García,30,2212,8,7.364760588854551,2,4.19025797303766,56,49,6,0,F M S,Osasuna,7,6.621482994407415,13.874091569334269,6.456713251769543,la_liga,2019-2020
2252,Borja Mayoral,34,2147,8,10.31909115985036,2,3.678015971556306,48,24,2,0,F S,Levante,8,10.31909115985036,17.214190535247326,4.92754820920527,la_liga,2019-2020
2285,Fabián Orellana,29,2408,8,7.871263228356838,7,5.6581591460853815,42,48,9,1,F M S,Eibar,4,4.154875185340643,9.269529012031851,2.554041636176408,la_liga,2019-2020
2378,Daniel Parejo,35,3049,8,6.132803933694959,3,4.405116523616016,34,57,4,1,M,Valencia,3,1.673266151919961,11.47132785525173,10.588568963110449,la_liga,2019-2020
5169,Youssef En-Nesyri,36,2155,8,7.479582412168384,2,0.7203045152127743,61,11,3,0,F S,"Leganes,Sevilla",8,7.479582412168384,8.093434002250433,1.2357214260846376,la_liga,2019-2020
5212,Sergi Guardiola,35,2676,8,6.839583521708846,2,2.0864323331043124,57,17,6,0,F S,Real Valladolid,8,6.096305912360549,10.760452087968588,3.7284871134907007,la_liga,2019-2020
2311,Roberto Soldado,33,2411,7,5.552098533138633,4,4.238067662343383,33,28,14,0,F S,Granada,6,4.808820901438594,7.693534339778125,1.7238717982545495,la_liga,2019-2020
3211,Martin Braithwaite,35,2340,7,9.670963495969772,2,2.8578462041914463,55,17,4,0,F M S,"Barcelona,Leganes",7,8.927813794463873,12.631042383611202,3.825137125328183,la_liga,2019-2020
3667,Nabil Fekir,32,2678,7,6.814645889215171,4,2.716234901919961,102,41,6,2,F M S,Real Betis,6,6.071368279866874,10.877142939716578,4.978945374488831,la_liga,2019-2020
4226,Darwin Machís,36,2108,7,6.886147224344313,6,4.003064286895096,72,40,5,0,F M S,Granada,6,6.142869614996016,9.982243048027158,2.9561564875766635,la_liga,2019-2020
